"estado";"candidato";"votos";"cargo";"ano";"turno";"partido";"candidato_name"
"Rondônia";"Fernando Collor PRN (PST-PSL)";165607;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Acre";"Fernando Collor PRN (PST-PSL)";49862;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Amazonas";"Fernando Collor PRN (PST-PSL)";300848;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Roraima";"Fernando Collor PRN (PST-PSL)";32130;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Pará";"Fernando Collor PRN (PST-PSL)";793384;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Amapá";"Fernando Collor PRN (PST-PSL)";42255;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Tocantins";"Fernando Collor PRN (PST-PSL)";164964;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Maranhão";"Fernando Collor PRN (PST-PSL)";609758;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Piauí";"Fernando Collor PRN (PST-PSL)";383632;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Ceará";"Fernando Collor PRN (PST-PSL)";861030;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"R. G. do Norte";"Fernando Collor PRN (PST-PSL)";326878;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Paraíba";"Fernando Collor PRN (PST-PSL)";457129;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Pernambuco";"Fernando Collor PRN (PST-PSL)";1066986;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Alagoas";"Fernando Collor PRN (PST-PSL)";554612;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Sergipe";"Fernando Collor PRN (PST-PSL)";301730;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Bahia";"Fernando Collor PRN (PST-PSL)";1408614;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Minas Gerais";"Fernando Collor PRN (PST-PSL)";2801422;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Espírito Santo";"Fernando Collor PRN (PST-PSL)";468910;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Rio de Janeiro";"Fernando Collor PRN (PST-PSL)";1189385;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"São Paulo";"Fernando Collor PRN (PST-PSL)";4085223;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Paraná";"Fernando Collor PRN (PST-PSL)";1738216;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Santa Catarina";"Fernando Collor PRN (PST-PSL)";566990;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"R. G. do Sul";"Fernando Collor PRN (PST-PSL)";480842;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"M. G. do Sul";"Fernando Collor PRN (PST-PSL)";436539;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Mato Grosso";"Fernando Collor PRN (PST-PSL)";344973;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Goiás";"Fernando Collor PRN (PST-PSL)";803199;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Distrito Federal";"Fernando Collor PRN (PST-PSL)";172818;"Presidente";1989;"Turno 1";"PRN";"Fernando Collor"
"Rondônia";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";75532;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Acre";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";22954;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Amazonas";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";125406;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Roraima";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";5417;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Pará";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";294981;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Amapá";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";21026;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Tocantins";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";27888;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Maranhão";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";255586;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Piauí";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";219406;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Ceará";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";321526;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"R. G. do Norte";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";239010;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Paraíba";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";313895;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Pernambuco";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";950189;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Alagoas";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";76227;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Sergipe";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";108002;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Bahia";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";1050444;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Minas Gerais";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";1792789;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Espírito Santo";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";264983;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Rio de Janeiro";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";904223;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"São Paulo";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";2921970;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Paraná";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";353907;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Santa Catarina";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";255015;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"R. G. do Sul";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";350062;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"M. G. do Sul";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";73697;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Mato Grosso";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";76700;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Goiás";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";298261;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Distrito Federal";"Luiz Inácio Lula da Silva PT ( PSB-PCdoB)";220720;"Presidente";1989;"Turno 1";"PT";"Luiz Inácio"
"Rondônia";"Leonel Brizola PDT";39650;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Acre";"Leonel Brizola PDT";8582;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Amazonas";"Leonel Brizola PDT";26129;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
"Roraima";"Leonel Brizola PDT";5092;"Presidente";1989;"Turno 1";"PDT";"Leonel Brizola"
